,phenotype,sex,animal,trial,outcome,latency,c-start,c-end,dist-euclid,dist-total,curvature,speed-mean,speed-peak,acc-peak,xacc-peak,yacc-peak
25,ChR2,M,m1019,5,escape,3.0499999999999545,"(-0.1159504848726732, 0.4106058732953233)","(-0.1091033176470117, 0.0786284443183501)",0.33204803424983176,0.37619917019113863,1.132966111487616,0.20899953899507703,1.008187317880869,5.969520925250118,1.5077304749634646,5.051325753523484
26,ChR2,M,m1020,1,panic,4.100000000000023,"(0.1111365490915752, 0.3014506004301814)","(0.092861321832607, 0.019679653541799)",0.282362976400488,0.3389696118103181,1.2004747085876526,0.19369692103446748,0.8546402102097926,5.522976609942234,1.549886890755631,4.459187429716572
27,ChR2,M,m1020,2,escape,3.0,"(-0.0747852737535817, 0.4351697948929932)","(-0.1030191318729414, 0.0538100980749812)",0.3824034114667783,0.4384970806690111,1.1466871568615857,0.24360948926056172,0.8716852568567155,5.234611948656065,1.5694077070328882,4.845118466945625
28,ChR2,M,m1020,3,panic,2.8999999999999773,"(0.0791296843324985, 0.3495954437667926)","(0.0946367596460677, 0.0224746780713743)",0.32748811388192006,0.4123070570583728,1.2589985394310685,0.2498830648838623,0.8970116102627429,5.968319406824905,2.139103929989528,4.218933079054697
29,ChR2,M,m1020,4,escape,3.5,"(-0.0472178271772102, 0.3149150662980206)","(-0.0910826569245037, 0.0681061123480508)",0.25067665036583947,0.30724860613533334,1.2256770053650083,0.19822490718408603,0.8444388688573883,6.463809035552315,1.5194021243340572,6.282694042578941
30,ChR2,M,m1020,5,escape,3.099999999999909,"(-0.1020590687707359, 0.3654063302438622)","(-0.1042505411604037, 0.0735240088213864)",0.2918905481686726,0.3486708644860082,1.1945260532537847,0.21131567544606558,0.8854972932262297,5.708300046711996,2.9085695802928635,4.648843932207875
31,ChR2,M,m1021,1,escape,3.3000000000000114,"(0.110403066259897, 0.4687259091554184)","(-0.056839977372293, 0.0733606731345058)",0.4292830132875403,0.45633281294856437,1.0630115770336939,0.2765653411809481,0.9497591822561692,7.271308297158643,2.005471956057936,6.4508626027157785
32,ChR2,M,m1021,2,panic,3.4500000000000455,"(0.1232175695614452, 0.281647761274688)","(0.1121160411414622, 0.0221139260678233)",0.25977115996669775,0.3225027644661297,1.241487948498494,0.18428729398064553,0.8786420899901384,6.979419271719869,1.4622597373495805,6.590983369703046
33,ChR2,M,m1021,3,panic,3.8500000000000227,"(0.1092323254196667, 0.39423484942201)","(0.1115746166164163, 0.0209517289310745)",0.3732904691677791,0.4296000402697568,1.1508465277120934,0.25270590604103343,0.8594317046673198,5.247044598365187,1.000776507310297,4.294275357094552
34,ChR2,M,m1021,4,escape,3.050000000000068,"(-0.0489541159566143, 0.4668837065355032)","(-0.0951095082121737, 0.0775627457439159)",0.39204735778468036,0.4278534424910001,1.0913310190601644,0.26740840155687506,0.9932432453090811,5.128383674042343,1.7940172558982004,5.083596847272903
35,ChR2,M,m1021,5,panic,3.1000000000000227,"(0.1107156966116138, 0.4187230938829662)","(0.1073964268465698, 0.0193041914945814)",0.3994326941262009,0.4450323367743635,1.1141610171593899,0.26178372751433143,1.0453800010452268,6.328767757738071,0.8693210428846965,6.0205830528343
36,ChR2,M,m1063,1,escape,2.75,"(0.0471784085765577, 0.4077720541123064)","(-0.0782025419454371, 0.0530074167965519)",0.37626896051040104,0.4482111879202687,1.191198942671964,0.3091111640829439,1.3935415083585607,9.89004533359084,5.772505996278871,6.111001923876492
37,ChR2,M,m1063,2,escape,2.949999999999932,"(0.0690610377790574, 0.3392613405522413)","(-0.0789518659983925, 0.0668000561742481)",0.3100693005918811,0.3606297363821042,1.1630617274709556,0.26713313806081795,0.9698198023080123,9.256272120208632,2.7432024237606853,8.953067176446389
38,ChR2,M,m1063,3,escape,3.3500000000000227,"(-0.0311425730447575, 0.3806809674534857)","(-0.0890121583382815, 0.0622137246661976)",0.32368236533765926,0.3728080852473825,1.151771381979603,0.2662914894624161,1.020875056969938,7.636279927313006,1.7325420459369134,7.596876099118186
39,ChR2,M,m1063,4,escape,2.75,"(-0.1124120722851039, 0.3406553779297903)","(-0.1119896220273686, 0.0586585535939584)",0.2819971407651402,0.34264792748511,1.2150758924555285,0.22843195165674002,0.6684664054163931,6.105645324458094,2.750498648071253,5.702225048938059
40,ChR2,M,m1063,5,escape,2.099999999999909,"(-0.089378923897937, 0.3907626717656107)","(-0.1025293159399412, 0.0716399192341501)",0.31939358790388117,0.3735936468920162,1.1696967661243283,0.21348208393829496,0.5871589582260867,4.853652894872113,1.8444968981099208,4.507348319735516
41,eYFP,F,m1016,1,escape,2.8500000000000227,"(-0.1083588624417398, 0.2855207674175224)","(-0.0903225218143596, 0.0775473949552516)",0.2087540017258527,0.24912176137082964,1.1933747823334668,0.16608117424721977,0.6542546862116311,5.643111015849897,1.2546281388346905,5.544324280530455
42,eYFP,F,m1016,2,escape,3.25,"(-0.1192984290308742, 0.4724800069403195)","(-0.0770589405029018, 0.0779330377860336)",0.3968015691248432,0.42611367243545645,1.0738709359825918,0.23672981801969803,0.7739010713410195,5.201958906751526,1.5442525395943263,5.187659815464008
43,eYFP,F,m1016,3,escape,4.25,"(-0.1256986572852012, 0.4293667906489486)","(-0.0983830896164917, 0.0853150850602718)",0.3451343453722643,0.37228586858402607,1.0786694328623712,0.20682548254668115,0.8397744926394818,6.018864237072549,1.4694672937595077,5.840436171291719
44,eYFP,F,m1016,4,panic,3.6000000000000227,"(0.0497407151161987, 0.3002740779356124)","(0.088995145838957, 0.017381716236856)",0.2856028687511172,0.3176108093657566,1.1120714954811328,0.17645044964764256,0.5269672384920147,3.684717676552797,1.2868374347145384,2.1199959307020717
45,eYFP,F,m1016,5,panic,3.050000000000068,"(0.0088303613305422, 0.3833212113072823)","(0.0663747252687806, 0.0205930597147754)",0.36726429962463425,0.41166925722285563,1.1209073619287415,0.22252392282316522,0.7565917521443074,2.851578971424237,0.9235252917103878,2.2193648284138514
46,eYFP,F,m1017,1,escape,3.849999999999966,"(0.09995719279643, 0.4747500423626304)","(-0.043388356693746, 0.0549344351481292)",0.4436136727148081,0.4911039467404808,1.1070532243405478,0.28063082670884615,0.8290378253891818,6.390544802129077,2.636326269998712,5.821412772354631
47,eYFP,F,m1017,2,escape,3.25,"(0.0994314207908381, 0.4280648952006258)","(-0.0457656581331325, 0.0646471264722276)",0.39134980050535517,0.4172160912925415,1.066095065728371,0.26076005705783845,0.9941782427951712,6.401923949962262,3.857792520030229,4.828315502086323
