,phenotype,sex,animal,trial,outcome,latency,c-start,c-end,dist-euclid,dist-total,curvature,speed-mean,speed-peak,acc-peak,xacc-peak,yacc-peak
22,ChR2,M,m1019,2,escape,2.8000000000000114,"(-0.0239597361737537, 0.4938280211198732)","(-0.1285025638539695, 0.1204912983207865)",0.38769770622191896,0.40556205184272653,1.0460780276336792,0.4407098363389728,1.1663500253295016,7.856539320421282,3.240894179701792,4.005925280798415
23,ChR2,M,m1019,3,panic,3.2000000000000455,"(0.0568519799994335, 0.4890154866773281)","(0.0316608066816192, 0.0945835652220704)",0.39523554480336753,0.5009655177445774,1.2675112963177724,0.204386884807926,1.0658920314321585,7.283016241107907,2.2491650685183,3.995153751815773
24,ChR2,M,m1019,4,panic,1.9499999999999318,"(-0.0089484160727716, 0.4403431603677117)","(0.0871679764502201, 0.0462389346753483)",0.40565564413700833,0.6108814358661318,1.5059113430203115,0.20426423323679235,0.6763597105549817,4.186173645581343,2.979115810398828,3.08895236699002
25,ChR2,M,m1019,5,escape,3.0499999999999545,"(-0.0740305668131603, 0.4948747858761598)","(-0.1154092062638635, 0.1080364717062099)",0.38904507850972764,0.40169210270129424,1.0325078632018998,0.3859017273035065,1.008187317880869,5.969520925250118,1.5077304749634646,5.016164310712412
26,ChR2,M,m1020,1,panic,4.100000000000023,"(0.0996336326577814, 0.4518478860451726)","(0.052937630836496, 0.0310979549630493)",0.4233332270111868,0.5113737395359325,1.207969766857963,0.191687027252786,0.8546402102097926,5.522976609942234,1.549886890755631,4.459187429716572
27,ChR2,M,m1020,2,escape,3.0,"(0.0050898746957645, 0.4677764303812906)","(-0.1281554350294729, 0.1140324502754708)",0.37800676716810383,0.40577744753780853,1.0734660931542392,0.39171517341251394,0.8716852568567155,3.495085009387726,1.209830930203537,2.5022154342053016
28,ChR2,M,m1020,3,panic,2.8999999999999773,"(0.0354411289985073, 0.3889371625232958)","(0.0598405912709492, 0.0348429408841539)",0.35493386927343806,0.4820586801179263,1.3581647789902866,0.21700034148667152,0.8970116102627429,6.931133515291831,2.139103929989528,4.218933079054697
29,ChR2,M,m1020,4,escape,3.5,"(-0.0365428537252787, 0.4997600534248607)","(-0.0798649029033344, 0.1166064116309763)",0.3855950118516864,0.3993658876982878,1.0357133142891852,0.4264234029525048,0.8444388688573883,3.93116870822541,1.3422041108672595,1.7736963448704457
30,ChR2,M,m1020,5,escape,3.099999999999909,"(-0.0364794260935961, 0.4972479968751913)","(-0.1169456144456689, 0.107662210088344)",0.3978088645747328,0.415033065643737,1.0432976803757685,0.3887122947624107,0.8854972932262297,5.708300046711996,2.9085695802928635,2.844398522120517
31,ChR2,M,m1021,1,escape,3.3000000000000114,"(0.0814520498364366, 0.49195581089358)","(-0.0473549545390695, 0.1223512543641202)",0.391406147861183,0.41762537561078944,1.0669872660224677,0.24617756249650882,0.9497591822561692,7.271308297158643,2.005471956057936,1.8450027241371905
32,ChR2,M,m1021,2,panic,3.4500000000000455,"(0.0831195515356594, 0.3121512255858424)","(0.0773521616492883, 0.0327366945958326)",0.2794740469425892,0.3782748240092083,1.3535239788720532,0.1618615102331006,0.8786420899901384,6.979419271719869,1.4622597373495805,6.590983369703046
33,ChR2,M,m1021,3,panic,3.8500000000000227,"(0.0385243152635279, 0.4510723301258788)","(0.0723985949620747, 0.0317857329302699)",0.4206527278087807,0.5301772534638232,1.2603680385613234,0.22196289766568772,0.8594317046673198,5.309728946301548,1.38270022134645,4.294275357094552
34,ChR2,M,m1021,4,escape,3.050000000000068,"(-0.1086715537837124, 0.4754224416060377)","(-0.0989460012170882, 0.1109153862880394)",0.36463677783422294,0.4065566039243622,1.1149632418844968,0.38027524663933715,0.9932432453090811,5.128383674042343,1.7940172558982004,4.170875338386559
35,ChR2,M,m1021,5,panic,3.1000000000000227,"(0.0632677544634165, 0.4664937874177199)","(0.0704093159807154, 0.0289688936017028)",0.43758317450471335,0.5251975778172566,1.2002234281784514,0.2203379818439437,1.0453800010452268,6.328767757738071,1.4256491724011666,6.0205830528343
