,phenotype,sex,animal,trial,outcome,latency,c-start,c-end,dist-euclid,dist-total,curvature,speed-mean,speed-peak,acc-peak,xacc-peak,yacc-peak
10,ChR2,F,m1024,4,escape,1.6999999999999318,"(-0.0994640460345333, 0.4401700270114164)","(-0.1003747866683775, 0.0755706809369633)",0.36460048355209423,0.4112759692719662,1.1280181673516705,0.17136498719665258,0.5105510980571232,5.591632398917492,2.056887207862257,4.930113749246646
11,ChR2,F,m1024,5,escape,2.699999999999932,"(-0.0632326331781097, 0.4183428093183695)","(-0.1070039183524472, 0.0845891389415062)",0.33661170195915807,0.36823138149505313,1.0939351762040987,0.199043989997326,0.8217792344508469,5.855885718667,1.4715630839061689,5.767741749919864
12,ChR2,F,m1061,1,escape,3.3000000000000114,"(-0.0845309083191909, 0.4930427056892282)","(-0.0956547063086463, 0.0680076722915525)",0.4251805716364207,0.47799194348450735,1.1242092780599735,0.2655510797136152,1.1064019289584257,9.4110859702212,3.928834980485496,9.345201610983672
13,ChR2,F,m1061,2,escape,3.849999999999966,"(0.0935819234144033, 0.4680039287502308)","(-0.0758014661782332, 0.0689510036408)",0.4335135173305255,0.4692264169703192,1.0823801293664506,0.2606813427612884,1.150967563802691,10.930183972512417,3.3955667423595792,10.389371885304175
14,ChR2,F,m1061,4,escape,3.2999999999999545,"(0.076918217384336, 0.4336805788552388)","(-0.0760435268743517, 0.067113572627846)",0.3972010388470473,0.42627397075903894,1.0731945011936057,0.23681887264391055,1.0167407605968195,7.772964505314895,3.369851635555193,7.004504062046879
15,ChR2,F,m1061,5,escape,4.0,"(0.012274045291603, 0.4539690378322821)","(-0.109532519412746, 0.0568025404299066)",0.4154251627717631,0.44201349804637263,1.0640027077252836,0.2389262151602014,1.0686773396079503,7.499592793204096,2.464670854837592,5.421539486368598
16,ChR2,M,m1018,1,panic,3.8000000000000114,"(0.0785231809521152, 0.4546952805399135)","(0.0970696401644156, 0.1032185312655669)",0.351965731896978,0.3792125727487069,1.0774133342609167,0.17236935124941222,0.7848033710704121,3.7765814457327087,1.5653157845872123,2.343856273404227
17,ChR2,M,m1018,2,escape,5.199999999999989,"(0.0698776571907551, 0.1559548058167295)","(-0.064017832885031, 0.068805749197982)",0.15975906963979414,0.3214432967560147,2.012050379867428,0.15306823655048318,0.6317154252608295,6.385735828943565,5.249795273302565,3.795900313516787
18,ChR2,M,m1018,3,escape,3.25,"(-0.0447284670646932, 0.4900981400817509)","(-0.104421880498925, 0.0726550611950873)",0.4216894920647269,0.4975786936663127,1.179964649415398,0.2117356143260905,0.6676307977726181,5.209960874236776,1.7124667763201011,5.02673695920714
19,ChR2,M,m1018,4,panic,4.800000000000068,"(0.1167469315149796, 0.4516450548908589)","(0.1043959651673635, 0.1067375415822306)",0.3451285834387838,0.366499625205574,1.0619219699332172,0.15934766313285825,0.6649922661992403,3.354209830790717,0.6157614817503154,3.3051118959640524
20,ChR2,M,m1018,5,escape,3.0,"(-0.1252277032974126, 0.481746727830554)","(-0.1354830329793199, 0.1636362040598087)",0.31827578783278904,0.36633232533589644,1.150990239723653,0.1665146933344984,0.8542627815940376,4.72155680061364,1.3448309303259245,2.974374474665775
